created_2;amount_3;id_1;id_2
01.09.2009 14:27;2164;3;0
01.09.2009 14:30;2344;1;0
01.09.2009 14:33;2145;3;0
01.09.2009 14:34;2372;3;0
01.09.2009 14:35;2963;1;0
01.09.2009 14:46;1450;2;0
02.09.2009 12:40;2900;1;0
02.09.2009 12:42;2558;1;0
02.09.2009 12:42;1619;4;0
02.09.2009 12:43;1631;2;0
02.09.2009 12:44;2752;1;0
02.09.2009 12:45;2368;1;0
02.09.2009 12:45;677;3;0
02.09.2009 20:01;1737;3;0
02.09.2009 20:02;2722;1;0
02.09.2009 20:03;658;2;0
02.09.2009 20:03;908;3;0
03.09.2009 12:24;2241;4;0
03.09.2009 12:25;1205;2;0
03.09.2009 12:26;1915;4;0
03.09.2009 12:28;534;1;0
03.09.2009 12:29;1027;3;0
03.09.2009 12:31;1288;2;0
03.09.2009 12:32;2023;1;0
03.09.2009 12:34;2006;3;0
03.09.2009 12:36;2742;1;0
03.09.2009 12:37;2757;1;0
03.09.2009 12:37;2167;4;0
03.09.2009 12:39;567;1;0
03.09.2009 12:47;681;1;0
03.09.2009 12:51;2002;3;0
03.09.2009 13:27;1825;3;0
03.09.2009 13:27;2613;4;0
03.09.2009 13:31;2762;1;0
03.09.2009 13:55;2251;3;0
03.09.2009 14:11;2417;1;0
03.09.2009 14:16;678;1;0
03.09.2009 14:52;763;1;0
03.09.2009 15:10;1279;1;0
03.09.2009 15:22;1353;3;0
03.09.2009 17:55;1324;1;0
03.09.2009 19:32;1417;1;0
03.09.2009 19:39;2672;1;0
03.09.2009 19:41;1520;1;0
03.09.2009 19:43;2102;4;0
03.09.2009 19:44;1325;1;0
04.09.2009 09:29;1745;4;0
04.09.2009 09:35;1091;4;0
04.09.2009 10:00;2200;2;0
04.09.2009 10:03;1000;2;0
04.09.2009 10:26;1581;1;0
04.09.2009 10:31;2504;1;0
04.09.2009 10:33;845;4;0
04.09.2009 10:38;1532;2;0
04.09.2009 10:50;2521;3;0
04.09.2009 11:14;935;3;145
04.09.2009 12:03;2488;1;0
04.09.2009 12:06;1262;3;0
04.09.2009 12:17;2663;3;0
04.09.2009 12:50;831;2;0
04.09.2009 13:02;1115;3;0
04.09.2009 13:11;1148;2;0
04.09.2009 13:33;1992;4;0
04.09.2009 13:37;1423;3;0
