created_2;amount_3;id_1;id_2
01.01.2009 18:49;4374;2;2737
01.01.2009 21:32;2567;3;2316
02.01.2009 07:27;4396;2;2243
02.01.2009 08:39;4053;2;0
02.01.2009 08:41;4307;2;0
02.01.2009 08:44;3694;3;0
02.01.2009 08:47;2237;4;0
02.01.2009 09:03;1078;1;0
02.01.2009 09:05;581;3;0
02.01.2009 09:09;3553;4;0
02.01.2009 09:10;3265;3;0
02.01.2009 09:55;4252;3;0
02.01.2009 11:07;1928;4;0
02.01.2009 11:23;3599;3;2589
02.01.2009 12:42;4063;2;0
02.01.2009 13:24;3336;3;0
02.01.2009 13:41;3017;4;0
02.01.2009 14:08;1224;3;0
02.01.2009 14:09;2668;3;0
02.01.2009 14:11;875;1;0
02.01.2009 14:24;4024;2;0
02.01.2009 14:26;2970;3;0
02.01.2009 14:30;1261;3;0
02.01.2009 14:32;3148;3;0
02.01.2009 14:54;611;3;0
02.01.2009 20:03;2121;2;2645
03.01.2009 08:18;1415;1;0
03.01.2009 08:25;4838;4;0
03.01.2009 08:30;4951;1;0
03.01.2009 08:46;1338;2;0
03.01.2009 09:21;654;2;0
03.01.2009 09:33;2441;4;0
03.01.2009 09:48;2101;1;0
03.01.2009 10:17;1513;3;2577
03.01.2009 10:37;1466;4;0
03.01.2009 14:12;3727;4;0
03.01.2009 14:12;3973;2;0
03.01.2009 14:22;601;3;0
03.01.2009 15:59;1528;1;0
03.01.2009 20:41;813;1;2003
04.01.2009 00:00;2874;1;2840
04.01.2009 08:12;848;2;0
04.01.2009 08:31;4147;2;0
04.01.2009 09:24;2282;1;0
04.01.2009 09:25;4873;2;0
04.01.2009 09:31;2478;2;0
04.01.2009 09:34;4079;2;0
04.01.2009 09:43;4851;4;0
04.01.2009 11:19;983;1;2435
04.01.2009 11:57;3254;1;0
04.01.2009 11:59;2260;1;0
04.01.2009 14:28;2510;2;0
04.01.2009 14:33;3732;2;0
04.01.2009 14:33;1308;1;0
04.01.2009 15:06;3202;4;0
04.01.2009 15:24;582;4;0
04.01.2009 15:31;2584;3;2578
04.01.2009 16:22;994;4;2245
04.01.2009 16:52;570;3;0
04.01.2009 16:53;980;1;0
04.01.2009 16:54;793;1;0
04.01.2009 16:57;986;1;0
05.01.2009 08:09;1955;2;0
05.01.2009 08:12;757;3;0
05.01.2009 08:19;3590;1;0
05.01.2009 08:42;3242;3;0
05.01.2009 08:51;3428;1;0
05.01.2009 08:54;4260;3;0
05.01.2009 09:02;1361;2;0
05.01.2009 09:28;590;2;0
05.01.2009 09:43;2216;4;0
05.01.2009 09:47;3726;2;0
05.01.2009 10:55;1944;4;0
05.01.2009 11:34;4366;3;2828
05.01.2009 12:16;2416;1;0
05.01.2009 12:20;4618;2;3003
05.01.2009 12:51;4253;3;0
05.01.2009 12:56;3654;1;0
05.01.2009 13:50;2099;2;0
05.01.2009 14:13;3306;4;0
05.01.2009 16:55;1945;4;0
05.01.2009 16:57;4872;2;0
05.01.2009 19:28;521;4;0
05.01.2009 19:28;1921;1;0
05.01.2009 19:28;3489;1;0
05.01.2009 19:29;2565;3;0
05.01.2009 19:29;908;4;0
05.01.2009 19:32;2776;4;0
06.01.2009 00:00;3551;2;3010
06.01.2009 00:00;1352;1;3117
06.01.2009 00:00;3418;2;3091
06.01.2009 00:00;3684;1;3138
06.01.2009 10:07;1565;3;0
06.01.2009 10:10;3993;2;0
06.01.2009 10:43;2728;3;0
06.01.2009 15:23;2858;1;0
06.01.2009 19:33;2020;4;3077
06.01.2009 22:12;2694;2;2024
07.01.2009 00:00;2240;4;3320
07.01.2009 00:00;1755;4;3153
07.01.2009 00:00;4924;4;3204
07.01.2009 10:27;3648;1;2868
07.01.2009 13:15;4626;3;3045
07.01.2009 14:02;4030;3;2808
07.01.2009 15:59;2903;3;3203
07.01.2009 22:33;2880;1;0
07.01.2009 23:40;2011;4;3324
08.01.2009 00:00;2644;1;3261
08.01.2009 15:15;4119;4;0
09.01.2009 06:13;4560;3;0
09.01.2009 08:02;2191;2;0
09.01.2009 08:03;3179;3;0
09.01.2009 08:04;844;1;0
09.01.2009 08:45;4725;1;0
09.01.2009 09:07;4298;3;0
